Date,Open,High,Low,Close,Volume
02/01/2020 15:30:00,47.2,48.78,47.2,48.49,21674961
03/01/2020 15:30:00,48.3,48.62,47.95,48.37,12956863
06/01/2020 15:30:00,48,48,47.06,47.33,9601608
07/01/2020 15:30:00,47.55,48.46,47.36,47.61,13195788
08/01/2020 15:30:00,47.17,47.82,46.7,47.53,13304841
09/01/2020 15:30:00,48.5,48.6,47.91,48.32,10131152
10/01/2020 15:30:00,48.55,49.39,48,48.62,15927634
13/01/2020 15:30:00,49.11,49.7,48.78,49.58,10942750
14/01/2020 15:30:00,49.65,50.6,49.58,49.86,15660822
15/01/2020 15:30:00,49.19,50.36,48.92,50.21,12117948
16/01/2020 15:30:00,50.2,50.41,49.21,49.44,10438369
17/01/2020 15:30:00,49.33,49.89,49.19,49.53,5682460
20/01/2020 15:30:00,49.7,49.98,48.92,49.07,7291878
21/01/2020 15:30:00,48.78,48.78,47.35,47.62,11315803
22/01/2020 15:30:00,47.87,47.99,47.32,47.51,7662171
23/01/2020 15:30:00,47.59,48.19,47.32,48.03,7200020
24/01/2020 15:30:00,48.03,48.51,47.65,48.34,7481130
27/01/2020 15:30:00,47.78,47.78,46.01,46.25,12963119
28/01/2020 15:30:00,46,46.2,44.2,44.63,18015283
29/01/2020 15:30:00,45.28,45.97,44.96,45.22,11081834
30/01/2020 15:30:00,45.19,45.45,44.14,44.86,14652016
31/01/2020 15:30:00,45.3,45.43,43.65,43.87,10738727
01/02/2020 17:00:00,43.15,44,42.01,42.18,12784037
03/02/2020 15:30:00,41.8,43.9,41.66,43.61,16237126
04/02/2020 15:30:00,44.2,45.34,43.35,45.19,13336263
05/02/2020 15:30:00,45.23,47.97,44.8,47.51,16056765
06/02/2020 15:30:00,47.8,48.73,47.16,47.76,16666074
07/02/2020 15:30:00,47.57,47.97,46.89,47.1,11649909
10/02/2020 15:30:00,46.03,46.33,44,44.38,26796048
11/02/2020 15:30:00,44.84,45.77,44.27,44.41,16824371
12/02/2020 15:30:00,45,45.45,44.26,44.8,11785858
13/02/2020 15:30:00,44.88,45.17,43.94,44.13,9965221
14/02/2020 15:30:00,44.1,44.56,43.34,43.46,9484817
17/02/2020 15:30:00,43.55,44.09,43.3,43.69,9724765
18/02/2020 15:30:00,43.4,43.52,42.13,43.14,11502423
19/02/2020 15:30:00,43.65,43.85,42.82,43.32,8465109
20/02/2020 15:30:00,42.9,44.77,42.8,44.36,12980237
24/02/2020 15:30:00,43.49,43.49,41.34,41.55,17523142
25/02/2020 15:30:00,41.9,42.56,41.44,42.13,14558176
26/02/2020 15:30:00,41.13,41.94,41.13,41.63,14270706
27/02/2020 15:30:00,41.49,41.59,40.71,41.28,10226379
28/02/2020 15:30:00,39.87,39.9,37.5,38.17,24532833
02/03/2020 15:30:00,39.37,39.4,35.8,36.41,20220772
03/03/2020 15:30:00,37.35,39.1,37.01,38.76,18648933
04/03/2020 15:30:00,38.81,38.99,36.51,37.72,22937148
05/03/2020 15:30:00,38.4,38.78,37.43,37.58,14628468
06/03/2020 15:30:00,35.7,35.83,34.67,35.15,14848188
09/03/2020 15:30:00,33.75,33.77,31.98,32.23,20423826
11/03/2020 15:30:00,32.4,32.6,29.61,29.98,28693709
12/03/2020 15:30:00,27.5,29.18,26.72,28.75,43767763
13/03/2020 15:30:00,27,33.21,25.54,32.67,33842310
16/03/2020 15:30:00,30.4,31.77,28.71,28.96,23606452
17/03/2020 15:30:00,30,30.77,28.05,28.28,20654603
18/03/2020 15:30:00,29,29.32,27.57,28.09,18772675
19/03/2020 15:30:00,26.9,28.45,26.05,27.19,18723257
20/03/2020 15:30:00,27.97,30.5,27.42,29.78,17307882
23/03/2020 15:30:00,26.8,27.8,25.36,27.12,12100684
24/03/2020 15:30:00,27.71,28.57,25.86,27.19,12928877
25/03/2020 15:30:00,26.71,29.5,26.71,28.68,9442834
26/03/2020 15:30:00,29,29.55,28.01,28.45,11493837
27/03/2020 15:30:00,29.1,29.53,27.42,27.73,11184139
